Unnamed: 0,fpros_id,player_name,sportsdata_id,player_team_id,player_position_id,player_positions,player_short_name,player_eligibility,player_yahoo_positions,player_page_url,player_filename,player_square_image_url,player_image_url,player_yahoo_id,cbs_player_id,player_bye_week,player_owned_avg,player_owned_espn,player_owned_yahoo,player_ecr_delta,rank_min,rank_max,rank_ave,rank_std,pos_rank,ovr_tier,ovr_rank_ecr,rank_max_duplicate,rank_ave_duplicate,rank_std_duplicate,pos_tier,pos_rank_ecr,sleeper_id,rank_min_duplicate,player_ecr_delta_duplicate,pos_rank_duplicate
21,19252,Brandon Aiyuk,c90471cc-fa60-4416-9388-5aebb5d877eb,SF,WR,WR,B. Aiyuk,WR,WR,https://www.fantasypros.com/nfl/players/brandon-aiyuk.php,brandon-aiyuk.php,https://images.fantasypros.com/images/players/nfl/19252/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19252/headshot/210x210.png,32695.0,2967489.0,9.0,98.2,98.4,98,,12,43,25.05,5.56,WR14,4.0,22.0,20.0,11.72,2.91,3.0,11.0,6803,8.0,,WR11
22,19275,Jalen Hurts,64bd0f02-6a5d-407e-98f1-fd02048ea21d,PHI,QB,QB,J. Hurts,QB,QB,https://www.fantasypros.com/nfl/players/jalen-hurts.php,jalen-hurts.php,https://images.fantasypros.com/images/players/nfl/19275/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19275/headshot/210x210.png,32723.0,2240246.0,5.0,99.9,99.8,100,,18,46,27.33,5.61,QB2,4.0,23.0,5.0,2.32,0.95,1.0,2.0,6904,1.0,,
23,19790,Jaylen Waddle,0ff9a975-669d-4851-a95d-ab28d9fc29c4,MIA,WR,WR,J. Waddle,WR,WR,https://www.fantasypros.com/nfl/players/jaylen-waddle.php,jaylen-waddle.php,https://images.fantasypros.com/images/players/nfl/19790/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19790/headshot/210x210.png,33394.0,2962110.0,6.0,96.3,97.5,95,,16,39,27.53,5.44,WR15,4.0,24.0,26.0,18.2,2.67,3.0,19.0,7526,11.0,,WR19
24,12119,Mike Evans,c48c21d9-0ae5-478c-ad34-30a660cfa9b8,TB,WR,WR,M. Evans,WR,WR,https://www.fantasypros.com/nfl/players/mike-evans.php,mike-evans.php,https://images.fantasypros.com/images/players/nfl/12119/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/12119/headshot/210x210.png,27535.0,1824909.0,11.0,98.0,99.0,97,,19,43,27.62,5.39,WR16,4.0,25.0,16.0,11.25,2.1,3.0,10.0,2216,8.0,,WR10
25,22978,Sam LaPorta,3059f1e5-1871-4458-9e90-9b9917874c61,DET,TE,TE,S. LaPorta,TE,TE,https://www.fantasypros.com/nfl/players/sam-laporta.php,sam-laporta.php,https://images.fantasypros.com/images/players/nfl/22978/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/22978/headshot/210x210.png,40064.0,3124197.0,5.0,98.9,99.8,98,,23,78,29.77,11.3,TE1,4.0,26.0,5.0,1.61,0.91,1.0,1.0,10859,1.0,,
26,20130,Nico Collins,bd56a50c-5fae-4ee2-8363-f74ae07b6887,HOU,WR,WR,N. Collins,WR,WR,https://www.fantasypros.com/nfl/players/nico-collins.php,nico-collins.php,https://images.fantasypros.com/images/players/nfl/20130/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/20130/headshot/210x210.png,33477.0,2878193.0,14.0,95.6,98.1,93,,19,59,30.33,7.43,WR17,4.0,27.0,28.0,14.84,3.95,3.0,14.0,7569,9.0,,WR14
27,23059,Kyren Williams,19d44771-8f1d-4127-9b7d-230da137f15d,LAR,RB,RB,K. Williams,RB,RB,https://www.fantasypros.com/nfl/players/kyren-williams.php,kyren-williams.php,https://images.fantasypros.com/images/players/nfl/23059/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/23059/headshot/210x210.png,34120.0,3121836.0,6.0,96.3,99.5,93,,10,52,30.54,11.66,RB8,4.0,28.0,11.0,7.38,1.79,2.0,8.0,8150,2.0,,
28,16413,Patrick Mahomes II,11cad59d-90dd-449c-a839-dddaba4fe16c,KC,QB,QB,P. Mahomes II,QB,QB,https://www.fantasypros.com/nfl/players/patrick-mahomes.php,patrick-mahomes.php,https://images.fantasypros.com/images/players/nfl/16413/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/16413/headshot/210x210.png,30123.0,2142052.0,6.0,99.4,99.7,99,,18,54,30.94,7.76,QB3,4.0,29.0,7.0,3.19,1.21,1.0,3.0,4046,1.0,,
29,11594,Travis Kelce,c3859e06-5f23-4302-a71b-04820a899d5f,KC,TE,TE,T. Kelce,TE,TE,https://www.fantasypros.com/nfl/players/travis-kelce.php,travis-kelce.php,https://images.fantasypros.com/images/players/nfl/11594/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/11594/headshot/210x210.png,26686.0,1725130.0,6.0,99.9,99.8,100,,25,78,31.6,12.85,TE2,4.0,30.0,7.0,2.2,1.32,1.0,2.0,1466,1.0,,
30,17265,DJ Moore,d8202e6d-d03b-4cd1-a793-ff8fd39d9755,CHI,WR,WR,DJ Moore,WR,WR,https://www.fantasypros.com/nfl/players/dj-moore-wr.php,dj-moore-wr.php,https://images.fantasypros.com/images/players/nfl/17265/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/17265/headshot/210x210.png,30994.0,2179328.0,7.0,97.6,97.2,98,,15,50,32.7,7.62,WR18,4.0,31.0,25.0,17.99,3.64,3.0,18.0,4983,10.0,,
